Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,video,question1,A.1,B.1,C.1,ANSWER1,ANSWER2,question2,A.2,B.2,C.2,D.2,E.2,question3,A.3,B.3,C.3,D.3,E.3,ANSWER3,ANSWER
10,1.60713E+12,05/12/2020 00:33,1.60713E+12,0,05/12/2020 00:33,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1079,1920x1079,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,7,Screen 2,Zone1,timelimit_screen,44999.961,,,,,0,1,0,,,1,,,Trial session,,,,,,,,,,,,,,,,,,,,,
11,1.60713E+12,05/12/2020 00:33,1.60713E+12,0,05/12/2020 00:33,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,8,Screen 1,buttonC,response_button_text,5033.22,,,C. Mental interaction,1,1,0,0,,,,,,Trial session,,,,,,,,,,,,,,,,,,,,,
12,1.60713E+12,05/12/2020 00:33,1.60713E+12,0,05/12/2020 00:33,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,2,1,9,Screen 3,advancementZone,continue_button,2906.4,,,,,0,1,0,,,,,,Trial session,,,,,,,,,,,,,,,,,,,,,
13,1.60713E+12,05/12/2020 00:34,1.60713E+12,0,05/12/2020 00:34,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,5,1,1,Screen 13,Zone7,timelimit_screen,39999.832,,,,,0,1,0,,,1,1,1,TOM session,TOM_SEDUCING.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,C. Mental interaction,Cunning,## How do you think the **Little Triangle** feels at the end of the animation?,Lost,Cunning,Scared,Composed,No feelings,## How do you think the **Big Triangle** feels at the end of the animation?,Excited ,Eager,No feelings,Cheerful,Foolish,Foolish,
14,1.60713E+12,05/12/2020 00:34,1.60713E+12,0,05/12/2020 00:34,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,5,1,2,Screen 2,buttonC,response_button_text,994.48,,,C. Mental interaction,1,1,0,0,,,,1,1,TOM session,TOM_SEDUCING.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,C. Mental interaction,Cunning,## How do you think the **Little Triangle** feels at the end of the animation?,Lost,Cunning,Scared,Composed,No feelings,## How do you think the **Big Triangle** feels at the end of the animation?,Excited ,Eager,No feelings,Cheerful,Foolish,Foolish,
15,1.60713E+12,05/12/2020 00:34,1.60713E+12,0,05/12/2020 00:34,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,5,1,3,Screen 1,buttonC,response_button_text,2912.89,,,Scared,1,0,1,0,,,,1,1,TOM session,TOM_SEDUCING.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,C. Mental interaction,Cunning,## How do you think the **Little Triangle** feels at the end of the animation?,Lost,Cunning,Scared,Composed,No feelings,## How do you think the **Big Triangle** feels at the end of the animation?,Excited ,Eager,No feelings,Cheerful,Foolish,Foolish,
16,1.60713E+12,05/12/2020 00:34,1.60713E+12,0,05/12/2020 00:34,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,5,1,4,Screen 6,Zone2,response_button_text,8261.95,,,Foolish,1,1,0,0,,,,1,1,TOM session,TOM_SEDUCING.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,C. Mental interaction,Cunning,## How do you think the **Little Triangle** feels at the end of the animation?,Lost,Cunning,Scared,Composed,No feelings,## How do you think the **Big Triangle** feels at the end of the animation?,Excited ,Eager,No feelings,Cheerful,Foolish,Foolish,
17,1.60713E+12,05/12/2020 00:35,1.60713E+12,0,05/12/2020 00:35,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,11,1,1,Screen 1,Zone7,timelimit_screen,35000.065,,,,,0,1,0,,,1,1,1,GD session,GD_CHASE.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,B. Physical interaction,,,,,,,,,,,,,,,
18,1.60713E+12,05/12/2020 00:35,1.60713E+12,0,05/12/2020 00:35,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,11,1,2,Screen 2,buttonB,response_button_text,1721.91,,,B. Physical interaction,1,1,0,0,,,,1,1,GD session,GD_CHASE.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,B. Physical interaction,,,,,,,,,,,,,,,
19,1.60713E+12,05/12/2020 00:35,1.60713E+12,0,05/12/2020 00:35,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1079,1920x1079,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,3,2,1,Screen 13,Zone7,timelimit_screen,39999.996,,,,,0,1,0,,,1,1,1,TOM session,TOM_COAXING.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,C. Mental interaction,Secure,## How do you think the **Little Triangle** feels at the end of the animation?,Proud,No feelings,Secure,Unsure,Annoyed,## How do you think the **Big Triangle** feels at the end of the animation?,Frustrated,Loving,Tense,No feelings,Frivolous,Loving,
20,1.60713E+12,05/12/2020 00:35,1.60713E+12,0,05/12/2020 00:35,27169,8,task-h14t,,8347028,BLIND,2544283,,complete,huymye,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1920x1080,1920x1080,,Triangle task,14,Meta-first,Spreadsheet1,Spreadsheet1,3,2,2,Screen 2,buttonB,response_button_text,272.22,,,B. Physical interaction,1,0,1,0,,,,1,1,TOM session,TOM_COAXING.mp4,## Which of these 3 categories best fits the animation you have just seen?,A. No interaction,B. Physical interaction,C. Mental interaction,C. Mental interaction,Secure,## How do you think the **Little Triangle** feels at the end of the animation?,Proud,No feelings,Secure,Unsure,Annoyed,## How do you think the **Big Triangle** feels at the end of the animation?,Frustrated,Loving,Tense,No feelings,Frivolous,Loving,
