age,gender,education,MCQ_feelings,MCQ_cat,MCQ_cat_TOM,MCQ_cat_GD,MCQ_cat_RND,metaD,metaR,metaP,BCIS,IQ,AQ10,AQ10_AD,AQ10_AS,AQ10_C,AQ10_S,AQ10_I,RAADS,RAADS_MENTA,RAADS_SOA,RAADS_SOR
41,1,4,3,10,3,4,4,0.787308808107834,0.456442655783493,1.72487999999993,9,NaN,7,1,2,1,2,1,27,7,14,6
38,1,5,5,11,4,3,3,1.30588711771367,1.10148461728423,1.18556999999979,27,10,8,0,2,2,2,2,35,13,16,6
23,0,4,6,11,4,3,3,1.06978185288467,0.853701473042803,1.25310999999979,16,12,6,2,2,1,1,0,38,18,12,8
22,0,2,0,8,1,3,3,1.376807963,0.827348967021613,1.66411999999983,18,0,4,0,0,1,2,1,48,20,16,12
35,0,5,5,12,4,4,4,0.775285019105216,0.587212575442496,1.32027999999992,21,15,9,2,2,2,1,2,15,8,4,3
26,1,4,0,6,1,3,3,0.473091356043724,0.402610382485767,1.17505999999973,30,9,6,1,2,0,2,1,48,24,13,11
22,0,3,6,11,4,3,3,0.62217685167684,0.375597254257071,1.65649999999961,17,15,8,0,2,2,2,2,27,9,12,6
21,1,3,8,11,4,3,3,1.16397049170423,0.57447116303956,2.02616000000007,18,3,7,0,1,2,2,2,14,7,4,3
30,0,5,4,10,4,2,2,1.45611171589667,0.717466058918692,2.02952000000005,16,10,7,1,1,2,1,2,22,8,8,6
32,0,6,1,11,3,4,4,0.528947623588984,0.40276222004796,1.31329999999983,23,11,6,0,2,1,1,2,33,18,9,6
55,1,2,4,9,2,3,3,0.612517099000765,0.367913492588338,1.66483999999983,18,9,10,2,2,2,2,2,17,10,4,3
26,0,4,6,10,4,2,2,1.22482359644966,0.650415580599245,1.88314000000015,20,6,6,0,1,1,2,2,16,8,5,3
27,1,5,4,11,4,4,4,0.400549324646081,0.320914413048176,1.2481499999999,18,2,6,1,1,2,1,1,20,13,4,3
27,1,4,6,10,3,3,3,0.225074011924542,0.218660693776088,1.02932999999997,19,5,7,0,2,2,1,2,42,25,11,6
19,0,3,7,11,4,4,4,0.712451482175669,0.939864969705487,0.758036000000117,25,8,3,0,0,1,1,1,41,16,16,9
26,0,4,0,8,2,3,3,0.349062489115797,0.216839976590319,1.60976999999958,NaN,7,6,1,1,2,1,1,36,19,8,9
20,0,2,1,5,3,2,2,1.38264571661834,0.986934377828145,1.40094999999978,20,6,6,1,1,1,1,2,36,17,9,10
44,0,3,2,6,2,1,1,1.35035396774,1.13531412022767,1.18941000000024,21,7,7,1,2,2,1,1,34,13,12,9
38,1,3,6,10,4,3,3,2.12911917866667,0.907614832497811,2.3458400000005,21,9,4,1,0,2,1,0,56,28,16,12
23,1,3,6,11,4,3,3,1.07161511619447,0.621254966140154,1.72492000000024,19,7,4,1,2,0,1,0,45,23,16,6
26,0,1,2,5,2,0,0,1.96329625153334,0.879510563972534,2.23226000000041,20,6,6,1,2,1,1,1,42,23,13,6
40,0,4,0,6,1,1,1,1.9640199797,1.43573959552617,1.36794999999986,24,3,9,1,2,2,2,2,28,16,6,6
