Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1.60484E+12,08/11/2020 13:44,1.60484E+12,0,08/11/2020 13:44,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1024x625,,ICAR,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,VR.4-4,5
3,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,VR.16-4,It's impossible to tell
4,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,VR.17-3,47
5,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,VR.19-2,Monday
6,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,LN.7-5,W
7,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,catch_1-6,X
8,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,LN.33-3,G
9,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,LN.34-4,X
10,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,LN.58-3,I
11,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,MX.45-2,B
12,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,MX.46-4,D
13,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,MX.47-4,D
14,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,MX.55-3,C
15,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,R3D.3-5,E
16,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,R3D.4-7,G
17,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,R3D.6-1,A
18,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,R3D.8-6,F
19,1.60484E+12,08/11/2020 13:56,1.60484E+12,0,08/11/2020 13:56,12022,43,questionnaire-pu6t,,7649073,BLIND,2267214,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1024x768,1007x625,,ICAR,3,Meta-first,No,END QUESTIONNAIRE,741087
1,1.60484E+12,08/11/2020 13:46,1.60484E+12,1,08/11/2020 14:46,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,BEGIN QUESTIONNAIRE,
2,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,VR.4-4,5
3,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,VR.16-3,Richard is as tall as Matt
4,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,VR.17-3,47
5,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,VR.19-6,Sunday
6,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,LN.7-6,X
7,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,catch_1-6,X
8,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,LN.33-2,F
9,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,LN.34-4,X
10,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,LN.58-4,N
11,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,MX.45-4,D
12,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,MX.46-2,B
13,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,MX.47-5,E
14,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,MX.55-2,B
15,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,R3D.3-7,G
16,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,R3D.4-3,C
17,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,R3D.6-1,A
18,1.60484E+12,08/11/2020 14:02,1.60484E+12,1,08/11/2020 15:02,12022,43,questionnaire-pu6t,,7649101,BLIND,2267200,,complete,kkcbtl,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.183,1920x1080,1920x969,,ICAR,3,Meta-first,No,R3D.8-6,F
