Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-oh6h,Randomise questionnaire elements?,Question Key,Response
1,1.60328E+12,21/10/2020 11:24,1.60328E+12,2,21/10/2020 13:24,12022,38,questionnaire-ynxa,,7354938,BLIND,2146841,,complete,iajvqs,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x722,,Demographic variables,12,Menta-first,No,BEGIN QUESTIONNAIRE,
2,1.60328E+12,21/10/2020 11:25,1.60328E+12,2,21/10/2020 13:25,12022,38,questionnaire-ynxa,,7354938,BLIND,2146841,,complete,iajvqs,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x722,,Demographic variables,12,Menta-first,No,Gender ,Male
3,1.60328E+12,21/10/2020 11:25,1.60328E+12,2,21/10/2020 13:25,12022,38,questionnaire-ynxa,,7354938,BLIND,2146841,,complete,iajvqs,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x722,,Demographic variables,12,Menta-first,No,Gender -quantised,2
4,1.60328E+12,21/10/2020 11:25,1.60328E+12,2,21/10/2020 13:25,12022,38,questionnaire-ynxa,,7354938,BLIND,2146841,,complete,iajvqs,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x722,,Demographic variables,12,Menta-first,No,education,Bachelor's degree
5,1.60328E+12,21/10/2020 11:25,1.60328E+12,2,21/10/2020 13:25,12022,38,questionnaire-ynxa,,7354938,BLIND,2146841,,complete,iajvqs,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x722,,Demographic variables,12,Menta-first,No,education-quantised,4
6,1.60328E+12,21/10/2020 11:25,1.60328E+12,2,21/10/2020 13:25,12022,38,questionnaire-ynxa,,7354938,BLIND,2146841,,complete,iajvqs,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x722,,Demographic variables,12,Menta-first,No,age,25
7,1.60328E+12,21/10/2020 11:25,1.60328E+12,2,21/10/2020 13:25,12022,38,questionnaire-ynxa,,7354938,BLIND,2146841,,complete,iajvqs,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x722,,Demographic variables,12,Menta-first,No,age-quantised,8
8,1.60328E+12,21/10/2020 11:25,1.60328E+12,2,21/10/2020 13:25,12022,38,questionnaire-ynxa,,7354938,BLIND,2146841,,complete,iajvqs,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x722,,Demographic variables,12,Menta-first,No,prolific ID,5e86177fbeb617068ac28439
9,1.60328E+12,21/10/2020 11:25,1.60328E+12,2,21/10/2020 13:25,12022,38,questionnaire-ynxa,,7354938,BLIND,2146841,,complete,iajvqs,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.111,1536x864,1536x722,,Demographic variables,12,Menta-first,No,END QUESTIONNAIRE,41296
1,1.60328E+12,21/10/2020 11:26,1.60328E+12,2,21/10/2020 13:28,12022,38,questionnaire-ynxa,,7355012,BLIND,2146857,,complete,vimxud,,computer,Desktop or Laptop,Windows 10,Firefox 81.0,1920x1080,1920x938,,Demographic variables,12,Meta-first,No,BEGIN QUESTIONNAIRE,
